,name,emotion
280,Ses03M_impro08b_M010,neu
288,Ses03M_impro08b_M011,neu
296,Ses03M_impro08b_M012,neu
304,Ses03M_impro08b_M013,neu
312,Ses03M_impro08b_M014,neu
320,Ses03M_impro08b_M015,neu
328,Ses03M_impro08b_M016,neu
336,Ses03M_impro08b_M017,neu
344,Ses03M_impro08b_M018,neu
352,Ses03M_impro08b_M019,neu
360,Ses03M_impro08b_M020,neu
368,Ses03M_impro08b_M021,neu
376,Ses03M_impro08b_M022,neu
0,Ses03M_script01_1_F000,neu
6,Ses03M_script01_1_F001,sur
12,Ses03M_script01_1_F002,sur
18,Ses03M_script01_1_F003,xxx
24,Ses03M_script01_1_F004,sad
30,Ses03M_script01_1_F005,sad
36,Ses03M_script01_1_F006,xxx
42,Ses03M_script01_1_F007,fru
48,Ses03M_script01_1_F008,sad
54,Ses03M_script01_1_F009,xxx
60,Ses03M_script01_1_F010,xxx
66,Ses03M_script01_1_F011,xxx
72,Ses03M_script01_1_F012,xxx
78,Ses03M_script01_1_F013,fru
84,Ses03M_script01_1_F014,xxx
90,Ses03M_script01_1_F015,fru
96,Ses03M_script01_1_F016,ang
102,Ses03M_script01_1_F017,ang
108,Ses03M_script01_1_F018,xxx
114,Ses03M_script01_1_F019,xxx
120,Ses03M_script01_1_F020,ang
126,Ses03M_script01_1_F021,neu
132,Ses03M_script01_1_F022,fru
138,Ses03M_script01_1_F023,xxx
144,Ses03M_script01_1_F024,xxx
150,Ses03M_script01_1_F025,fru
156,Ses03M_script01_1_F026,fru
162,Ses03M_script01_1_F027,xxx
168,Ses03M_script01_1_F028,neu
174,Ses03M_script01_1_F029,xxx
180,Ses03M_script01_1_F030,neu
186,Ses03M_script01_1_F031,fru
192,Ses03M_script01_1_F032,xxx
198,Ses03M_script01_1_F033,fru
204,Ses03M_script01_1_F034,fru
210,Ses03M_script01_1_F035,xxx
216,Ses03M_script01_1_F036,xxx
222,Ses03M_script01_1_F037,xxx
228,Ses03M_script01_1_F038,ang
234,Ses03M_script01_1_F039,xxx
240,Ses03M_script01_1_F040,sad
246,Ses03M_script01_1_F041,xxx
252,Ses03M_script01_1_F042,fru
258,Ses03M_script01_1_F043,ang
264,Ses03M_script01_1_F044,fru
270,Ses03M_script01_1_F045,sad
276,Ses03M_script01_1_F046,sad
282,Ses03M_script01_1_M000,sad
288,Ses03M_script01_1_M001,sad
294,Ses03M_script01_1_M002,sad
300,Ses03M_script01_1_M003,sad
306,Ses03M_script01_1_M004,sad
312,Ses03M_script01_1_M005,sad
318,Ses03M_script01_1_M006,sad
324,Ses03M_script01_1_M007,sad
330,Ses03M_script01_1_M008,fru
336,Ses03M_script01_1_M009,ang
342,Ses03M_script01_1_M010,fru
348,Ses03M_script01_1_M011,ang
354,Ses03M_script01_1_M012,ang
360,Ses03M_script01_1_M013,xxx
366,Ses03M_script01_1_M014,fru
372,Ses03M_script01_1_M015,fru
378,Ses03M_script01_1_M016,fru
384,Ses03M_script01_1_M017,neu
390,Ses03M_script01_1_M018,xxx
396,Ses03M_script01_1_M019,neu
402,Ses03M_script01_1_M020,fru
408,Ses03M_script01_1_M021,neu
414,Ses03M_script01_1_M022,ang
420,Ses03M_script01_1_M023,fru
426,Ses03M_script01_1_M024,fru
432,Ses03M_script01_1_M025,xxx
438,Ses03M_script01_1_M026,fru
444,Ses03M_script01_1_M027,ang
450,Ses03M_script01_1_M028,neu
456,Ses03M_script01_1_M029,neu
462,Ses03M_script01_1_M030,sad
468,Ses03M_script01_1_M031,neu
474,Ses03M_script01_1_M032,xxx
480,Ses03M_script01_1_M033,fru
486,Ses03M_script01_1_M034,fru
492,Ses03M_script01_1_M035,fru
498,Ses03M_script01_1_M036,sad
504,Ses03M_script01_1_M037,neu
510,Ses03M_script01_1_M038,neu
516,Ses03M_script01_1_M039,ang
522,Ses03M_script01_1_M040,ang
528,Ses03M_script01_1_M041,ang
534,Ses03M_script01_1_M042,fru
540,Ses03M_script01_1_M043,neu
546,Ses03M_script01_1_M044,xxx
552,Ses03M_script01_1_M045,sad
558,Ses03M_script01_1_M046,sad
564,Ses03M_script01_1_M047,sad
0,Ses03M_script01_2_F000,ang
6,Ses03M_script01_2_F001,ang
12,Ses03M_script01_2_F002,xxx
18,Ses03M_script01_2_F003,xxx
24,Ses03M_script01_2_F004,xxx
30,Ses03M_script01_2_F005,xxx
36,Ses03M_script01_2_F006,ang
42,Ses03M_script01_2_F007,xxx
48,Ses03M_script01_2_F008,xxx
54,Ses03M_script01_2_F009,ang
60,Ses03M_script01_2_F010,sad
66,Ses03M_script01_2_F011,sad
72,Ses03M_script01_2_F012,ang
78,Ses03M_script01_2_F013,xxx
84,Ses03M_script01_2_F014,xxx
90,Ses03M_script01_2_F015,ang
96,Ses03M_script01_2_F016,xxx
102,Ses03M_script01_2_F017,sad
108,Ses03M_script01_2_F018,xxx
114,Ses03M_script01_2_F019,sad
120,Ses03M_script01_2_M000,fru
126,Ses03M_script01_2_M001,neu
132,Ses03M_script01_2_M002,fru
138,Ses03M_script01_2_M003,fru
144,Ses03M_script01_2_M004,neu
150,Ses03M_script01_2_M005,neu
156,Ses03M_script01_2_M006,fru
162,Ses03M_script01_2_M007,xxx
168,Ses03M_script01_2_M008,neu
174,Ses03M_script01_2_M009,fru
180,Ses03M_script01_2_M010,fru
186,Ses03M_script01_2_M011,fru
192,Ses03M_script01_2_M012,fru
198,Ses03M_script01_2_M013,xxx
204,Ses03M_script01_2_M014,ang
210,Ses03M_script01_2_M015,ang
216,Ses03M_script01_2_M016,ang
222,Ses03M_script01_2_M017,ang
0,Ses03M_script01_3_F000,xxx
6,Ses03M_script01_3_F001,xxx
12,Ses03M_script01_3_F002,xxx
18,Ses03M_script01_3_F003,xxx
24,Ses03M_script01_3_F004,sad
30,Ses03M_script01_3_F005,xxx
36,Ses03M_script01_3_F006,sad
42,Ses03M_script01_3_F007,sad
48,Ses03M_script01_3_F008,sad
54,Ses03M_script01_3_F009,xxx
60,Ses03M_script01_3_F010,xxx
66,Ses03M_script01_3_F011,hap
72,Ses03M_script01_3_F012,hap
78,Ses03M_script01_3_F013,hap
84,Ses03M_script01_3_F014,hap
90,Ses03M_script01_3_F015,hap
96,Ses03M_script01_3_F016,hap
102,Ses03M_script01_3_F017,hap
108,Ses03M_script01_3_F018,hap
114,Ses03M_script01_3_F019,hap
120,Ses03M_script01_3_F020,hap
126,Ses03M_script01_3_F021,hap
132,Ses03M_script01_3_F022,xxx
138,Ses03M_script01_3_F023,xxx
144,Ses03M_script01_3_F024,xxx
150,Ses03M_script01_3_F025,xxx
156,Ses03M_script01_3_F026,xxx
162,Ses03M_script01_3_F027,xxx
168,Ses03M_script01_3_F028,xxx
174,Ses03M_script01_3_F029,sad
180,Ses03M_script01_3_F030,sad
186,Ses03M_script01_3_F031,sad
192,Ses03M_script01_3_F032,xxx
198,Ses03M_script01_3_F033,sad
204,Ses03M_script01_3_F034,hap
210,Ses03M_script01_3_M000,xxx
216,Ses03M_script01_3_M001,neu
222,Ses03M_script01_3_M002,sur
228,Ses03M_script01_3_M003,xxx
234,Ses03M_script01_3_M004,neu
240,Ses03M_script01_3_M005,xxx
246,Ses03M_script01_3_M006,xxx
252,Ses03M_script01_3_M007,xxx
258,Ses03M_script01_3_M008,hap
264,Ses03M_script01_3_M009,xxx
270,Ses03M_script01_3_M010,hap
276,Ses03M_script01_3_M011,xxx
282,Ses03M_script01_3_M012,xxx
288,Ses03M_script01_3_M013,xxx
294,Ses03M_script01_3_M014,xxx
300,Ses03M_script01_3_M015,xxx
306,Ses03M_script01_3_M016,hap
312,Ses03M_script01_3_M017,xxx
318,Ses03M_script01_3_M018,hap
324,Ses03M_script01_3_M019,exc
330,Ses03M_script01_3_M020,xxx
336,Ses03M_script01_3_M021,hap
342,Ses03M_script01_3_M022,xxx
348,Ses03M_script01_3_M023,sad
354,Ses03M_script01_3_M024,xxx
360,Ses03M_script01_3_M025,xxx
366,Ses03M_script01_3_M026,xxx
372,Ses03M_script01_3_M027,sad
378,Ses03M_script01_3_M028,sad
384,Ses03M_script01_3_M029,sad
390,Ses03M_script01_3_M030,sad
396,Ses03M_script01_3_M031,sad
402,Ses03M_script01_3_M032,sad
408,Ses03M_script01_3_M033,sad
414,Ses03M_script01_3_M034,sad
420,Ses03M_script01_3_M035,sad
426,Ses03M_script01_3_M036,sad
432,Ses03M_script01_3_M037,sad
438,Ses03M_script01_3_M038,sad
444,Ses03M_script01_3_M039,sad
450,Ses03M_script01_3_M040,sad
456,Ses03M_script01_3_M041,sad
462,Ses03M_script01_3_M042,sad
468,Ses03M_script01_3_M043,xxx
474,Ses03M_script01_3_M044,xxx
480,Ses03M_script01_3_M045,hap
486,Ses03M_script01_3_M046,hap
0,Ses03M_script02_1_F000,xxx
6,Ses03M_script02_1_F001,xxx
12,Ses03M_script02_1_F002,xxx
18,Ses03M_script02_1_F003,xxx
24,Ses03M_script02_1_F004,xxx
30,Ses03M_script02_1_F005,neu
36,Ses03M_script02_1_F006,xxx
42,Ses03M_script02_1_F007,fru
48,Ses03M_script02_1_F008,fru
54,Ses03M_script02_1_F009,fru
60,Ses03M_script02_1_F010,xxx
66,Ses03M_script02_1_F011,xxx
72,Ses03M_script02_1_F012,xxx
78,Ses03M_script02_1_F013,fru
84,Ses03M_script02_1_F014,xxx
90,Ses03M_script02_1_F015,fru
96,Ses03M_script02_1_F016,neu
102,Ses03M_script02_1_F017,xxx
108,Ses03M_script02_1_F018,fru
114,Ses03M_script02_1_F019,fru
120,Ses03M_script02_1_F020,xxx
126,Ses03M_script02_1_F021,xxx
132,Ses03M_script02_1_F022,xxx
138,Ses03M_script02_1_M000,exc
144,Ses03M_script02_1_M001,exc
150,Ses03M_script02_1_M002,exc
156,Ses03M_script02_1_M003,exc
162,Ses03M_script02_1_M004,exc
168,Ses03M_script02_1_M005,exc
174,Ses03M_script02_1_M006,xxx
180,Ses03M_script02_1_M007,xxx
186,Ses03M_script02_1_M008,xxx
192,Ses03M_script02_1_M009,xxx
198,Ses03M_script02_1_M010,xxx
204,Ses03M_script02_1_M011,xxx
210,Ses03M_script02_1_M012,xxx
216,Ses03M_script02_1_M013,xxx
222,Ses03M_script02_1_M014,exc
228,Ses03M_script02_1_M015,exc
234,Ses03M_script02_1_M016,exc
240,Ses03M_script02_1_M017,neu
246,Ses03M_script02_1_M018,xxx
252,Ses03M_script02_1_M019,xxx
258,Ses03M_script02_1_M020,fru
264,Ses03M_script02_1_M021,xxx
270,Ses03M_script02_1_M022,xxx
276,Ses03M_script02_1_M023,exc
282,Ses03M_script02_1_M024,exc
288,Ses03M_script02_1_M025,exc
294,Ses03M_script02_1_M026,exc
300,Ses03M_script02_1_M027,exc
306,Ses03M_script02_1_M028,xxx
312,Ses03M_script02_1_M029,xxx
318,Ses03M_script02_1_M030,xxx
324,Ses03M_script02_1_M031,xxx
330,Ses03M_script02_1_M032,xxx
336,Ses03M_script02_1_M033,fru
342,Ses03M_script02_1_M034,exc
348,Ses03M_script02_1_M035,exc
354,Ses03M_script02_1_M036,exc
360,Ses03M_script02_1_M037,exc
366,Ses03M_script02_1_M038,exc
372,Ses03M_script02_1_M039,exc
378,Ses03M_script02_1_M040,exc
384,Ses03M_script02_1_M041,exc
390,Ses03M_script02_1_M042,exc
396,Ses03M_script02_1_M043,exc
402,Ses03M_script02_1_M044,fru
0,Ses03M_script02_2_F000,ang
7,Ses03M_script02_2_F001,ang
14,Ses03M_script02_2_F002,ang
21,Ses03M_script02_2_F003,ang
28,Ses03M_script02_2_F004,ang
35,Ses03M_script02_2_F005,xxx
42,Ses03M_script02_2_F006,xxx
49,Ses03M_script02_2_F007,fru
56,Ses03M_script02_2_F008,fru
63,Ses03M_script02_2_F009,ang
70,Ses03M_script02_2_F010,xxx
77,Ses03M_script02_2_F011,ang
84,Ses03M_script02_2_F012,fru
91,Ses03M_script02_2_F013,ang
98,Ses03M_script02_2_F014,fru
105,Ses03M_script02_2_F015,fru
112,Ses03M_script02_2_F016,ang
119,Ses03M_script02_2_F017,fru
126,Ses03M_script02_2_F018,sad
133,Ses03M_script02_2_F019,xxx
140,Ses03M_script02_2_F020,xxx
147,Ses03M_script02_2_F021,xxx
154,Ses03M_script02_2_F022,xxx
161,Ses03M_script02_2_F023,sad
168,Ses03M_script02_2_F024,sad
175,Ses03M_script02_2_F025,sad
182,Ses03M_script02_2_F026,fru
189,Ses03M_script02_2_F027,fru
196,Ses03M_script02_2_F028,fru
203,Ses03M_script02_2_F029,fru
210,Ses03M_script02_2_F030,fru
217,Ses03M_script02_2_F031,ang
224,Ses03M_script02_2_F032,fru
231,Ses03M_script02_2_F033,ang
238,Ses03M_script02_2_F034,sad
245,Ses03M_script02_2_F035,sad
252,Ses03M_script02_2_F036,sad
259,Ses03M_script02_2_F037,sad
266,Ses03M_script02_2_F038,sad
273,Ses03M_script02_2_F039,xxx
280,Ses03M_script02_2_F040,sad
287,Ses03M_script02_2_F041,sad
294,Ses03M_script02_2_F042,hap
301,Ses03M_script02_2_F043,xxx
308,Ses03M_script02_2_F044,hap
315,Ses03M_script02_2_F045,xxx
322,Ses03M_script02_2_F046,hap
329,Ses03M_script02_2_F047,hap
336,Ses03M_script02_2_F048,hap
343,Ses03M_script02_2_F049,hap
350,Ses03M_script02_2_M000,exc
357,Ses03M_script02_2_M001,fru
364,Ses03M_script02_2_M002,fru
371,Ses03M_script02_2_M003,fru
378,Ses03M_script02_2_M004,fru
385,Ses03M_script02_2_M005,fru
392,Ses03M_script02_2_M006,fru
399,Ses03M_script02_2_M007,fru
406,Ses03M_script02_2_M008,fru
413,Ses03M_script02_2_M009,fru
420,Ses03M_script02_2_M010,fru
427,Ses03M_script02_2_M011,fru
434,Ses03M_script02_2_M012,fru
441,Ses03M_script02_2_M013,fru
448,Ses03M_script02_2_M014,neu
455,Ses03M_script02_2_M015,fru
462,Ses03M_script02_2_M016,xxx
469,Ses03M_script02_2_M017,neu
476,Ses03M_script02_2_M018,fru
483,Ses03M_script02_2_M019,neu
490,Ses03M_script02_2_M020,neu
497,Ses03M_script02_2_M021,neu
504,Ses03M_script02_2_M022,neu
511,Ses03M_script02_2_M023,xxx
518,Ses03M_script02_2_M024,fru
525,Ses03M_script02_2_M025,fru
532,Ses03M_script02_2_M026,fru
539,Ses03M_script02_2_M027,xxx
546,Ses03M_script02_2_M028,ang
553,Ses03M_script02_2_M029,ang
560,Ses03M_script02_2_M030,ang
567,Ses03M_script02_2_M031,ang
574,Ses03M_script02_2_M032,ang
581,Ses03M_script02_2_M033,ang
588,Ses03M_script02_2_M034,xxx
595,Ses03M_script02_2_M035,fru
602,Ses03M_script02_2_M036,sad
609,Ses03M_script02_2_M037,sad
616,Ses03M_script02_2_M038,xxx
623,Ses03M_script02_2_M039,xxx
630,Ses03M_script02_2_M040,xxx
637,Ses03M_script02_2_M041,hap
644,Ses03M_script02_2_M042,hap
651,Ses03M_script02_2_M043,xxx
658,Ses03M_script02_2_M044,xxx
665,Ses03M_script02_2_M045,hap
672,Ses03M_script02_2_M046,hap
0,Ses03M_script03_1_F000,xxx
6,Ses03M_script03_1_F001,xxx
12,Ses03M_script03_1_F002,xxx
18,Ses03M_script03_1_F003,exc
24,Ses03M_script03_1_F004,exc
30,Ses03M_script03_1_F005,exc
36,Ses03M_script03_1_F006,exc
42,Ses03M_script03_1_F007,xxx
48,Ses03M_script03_1_F008,xxx
54,Ses03M_script03_1_F009,xxx
60,Ses03M_script03_1_F010,xxx
66,Ses03M_script03_1_F011,xxx
72,Ses03M_script03_1_F012,xxx
78,Ses03M_script03_1_F013,xxx
84,Ses03M_script03_1_F014,xxx
90,Ses03M_script03_1_F015,xxx
96,Ses03M_script03_1_F016,xxx
102,Ses03M_script03_1_F017,xxx
108,Ses03M_script03_1_F018,sad
114,Ses03M_script03_1_F019,xxx
120,Ses03M_script03_1_F020,xxx
126,Ses03M_script03_1_F021,xxx
132,Ses03M_script03_1_F022,xxx
138,Ses03M_script03_1_F023,xxx
144,Ses03M_script03_1_F024,xxx
150,Ses03M_script03_1_F025,xxx
156,Ses03M_script03_1_F026,xxx
162,Ses03M_script03_1_F027,xxx
168,Ses03M_script03_1_F028,xxx
174,Ses03M_script03_1_F029,xxx
180,Ses03M_script03_1_F030,xxx
186,Ses03M_script03_1_F031,xxx
192,Ses03M_script03_1_M000,xxx
198,Ses03M_script03_1_M001,xxx
204,Ses03M_script03_1_M002,xxx
210,Ses03M_script03_1_M003,xxx
216,Ses03M_script03_1_M004,exc
222,Ses03M_script03_1_M005,xxx
228,Ses03M_script03_1_M006,exc
234,Ses03M_script03_1_M007,xxx
240,Ses03M_script03_1_M008,xxx
246,Ses03M_script03_1_M009,xxx
252,Ses03M_script03_1_M010,xxx
258,Ses03M_script03_1_M011,xxx
264,Ses03M_script03_1_M012,xxx
270,Ses03M_script03_1_M013,xxx
276,Ses03M_script03_1_M014,xxx
282,Ses03M_script03_1_M015,xxx
288,Ses03M_script03_1_M016,xxx
294,Ses03M_script03_1_M017,xxx
300,Ses03M_script03_1_M018,xxx
306,Ses03M_script03_1_M019,xxx
312,Ses03M_script03_1_M020,xxx
318,Ses03M_script03_1_M021,xxx
324,Ses03M_script03_1_M022,xxx
330,Ses03M_script03_1_M023,xxx
336,Ses03M_script03_1_M024,xxx
342,Ses03M_script03_1_M025,xxx
348,Ses03M_script03_1_M026,xxx
354,Ses03M_script03_1_M027,xxx
360,Ses03M_script03_1_M028,xxx
366,Ses03M_script03_1_M029,xxx
372,Ses03M_script03_1_M030,xxx
378,Ses03M_script03_1_M031,xxx
384,Ses03M_script03_1_M032,xxx
390,Ses03M_script03_1_M033,xxx
396,Ses03M_script03_1_M034,xxx
402,Ses03M_script03_1_M035,neu
408,Ses03M_script03_1_M036,xxx
414,Ses03M_script03_1_M037,xxx
420,Ses03M_script03_1_M038,xxx
0,Ses03M_script03_2_F000,neu
6,Ses03M_script03_2_F001,ang
12,Ses03M_script03_2_F002,xxx
18,Ses03M_script03_2_F003,neu
24,Ses03M_script03_2_F004,neu
30,Ses03M_script03_2_F005,xxx
36,Ses03M_script03_2_F006,neu
42,Ses03M_script03_2_F007,xxx
48,Ses03M_script03_2_F008,xxx
54,Ses03M_script03_2_F009,xxx
60,Ses03M_script03_2_F010,ang
66,Ses03M_script03_2_F011,ang
72,Ses03M_script03_2_F012,neu
78,Ses03M_script03_2_F013,xxx
84,Ses03M_script03_2_F014,ang
90,Ses03M_script03_2_F015,xxx
96,Ses03M_script03_2_F016,neu
102,Ses03M_script03_2_F017,neu
108,Ses03M_script03_2_F018,xxx
114,Ses03M_script03_2_F019,xxx
120,Ses03M_script03_2_F020,xxx
126,Ses03M_script03_2_F021,xxx
132,Ses03M_script03_2_F022,xxx
138,Ses03M_script03_2_F023,xxx
144,Ses03M_script03_2_F024,ang
150,Ses03M_script03_2_F025,ang
156,Ses03M_script03_2_F026,xxx
162,Ses03M_script03_2_F027,xxx
168,Ses03M_script03_2_F028,ang
174,Ses03M_script03_2_F029,ang
180,Ses03M_script03_2_F030,ang
186,Ses03M_script03_2_F031,ang
192,Ses03M_script03_2_F032,ang
198,Ses03M_script03_2_F033,ang
204,Ses03M_script03_2_F034,xxx
210,Ses03M_script03_2_F035,xxx
216,Ses03M_script03_2_F036,neu
222,Ses03M_script03_2_F037,fru
228,Ses03M_script03_2_F038,ang
234,Ses03M_script03_2_F039,ang
240,Ses03M_script03_2_F040,ang
246,Ses03M_script03_2_F041,ang
252,Ses03M_script03_2_F042,ang
258,Ses03M_script03_2_F043,ang
264,Ses03M_script03_2_F044,ang
270,Ses03M_script03_2_F045,ang
276,Ses03M_script03_2_M000,neu
282,Ses03M_script03_2_M001,xxx
288,Ses03M_script03_2_M002,xxx
294,Ses03M_script03_2_M003,ang
300,Ses03M_script03_2_M004,ang
306,Ses03M_script03_2_M005,ang
312,Ses03M_script03_2_M006,ang
318,Ses03M_script03_2_M007,ang
324,Ses03M_script03_2_M008,ang
330,Ses03M_script03_2_M009,neu
336,Ses03M_script03_2_M010,neu
342,Ses03M_script03_2_M011,ang
348,Ses03M_script03_2_M012,ang
354,Ses03M_script03_2_M013,xxx
360,Ses03M_script03_2_M014,ang
366,Ses03M_script03_2_M015,fru
372,Ses03M_script03_2_M016,fru
378,Ses03M_script03_2_M017,fru
384,Ses03M_script03_2_M018,xxx
390,Ses03M_script03_2_M019,neu
396,Ses03M_script03_2_M020,neu
402,Ses03M_script03_2_M021,neu
408,Ses03M_script03_2_M022,xxx
414,Ses03M_script03_2_M023,xxx
420,Ses03M_script03_2_M024,xxx
426,Ses03M_script03_2_M025,fru
432,Ses03M_script03_2_M026,xxx
438,Ses03M_script03_2_M027,xxx
444,Ses03M_script03_2_M028,xxx
450,Ses03M_script03_2_M029,ang
456,Ses03M_script03_2_M030,ang
462,Ses03M_script03_2_M031,ang
468,Ses03M_script03_2_M032,ang
474,Ses03M_script03_2_M033,ang
480,Ses03M_script03_2_M034,ang
486,Ses03M_script03_2_M035,xxx
492,Ses03M_script03_2_M036,xxx
498,Ses03M_script03_2_M037,xxx
504,Ses03M_script03_2_M038,ang
510,Ses03M_script03_2_M039,ang
516,Ses03M_script03_2_M040,ang
522,Ses03M_script03_2_M041,ang
528,Ses03M_script03_2_M042,ang
534,Ses03M_script03_2_M043,ang
540,Ses03M_script03_2_M044,ang
546,Ses03M_script03_2_M045,ang
552,Ses03M_script03_2_M046,ang
0,Ses04F_impro01_F000,xxx
6,Ses04F_impro01_F001,fru
12,Ses04F_impro01_F002,fru
18,Ses04F_impro01_F003,fru
24,Ses04F_impro01_F004,ang
30,Ses04F_impro01_F005,fru
36,Ses04F_impro01_F006,fru
42,Ses04F_impro01_F007,fru
48,Ses04F_impro01_F008,ang
54,Ses04F_impro01_F009,ang
60,Ses04F_impro01_F010,ang
66,Ses04F_impro01_F011,fru
72,Ses04F_impro01_F012,ang
78,Ses04F_impro01_F013,fru
84,Ses04F_impro01_F014,ang
90,Ses04F_impro01_F015,xxx
96,Ses04F_impro01_F016,ang
102,Ses04F_impro01_F017,xxx
108,Ses04F_impro01_F018,xxx
114,Ses04F_impro01_F019,ang
120,Ses04F_impro01_F020,xxx
126,Ses04F_impro01_F021,ang
132,Ses04F_impro01_F022,ang
138,Ses04F_impro01_M000,fru
144,Ses04F_impro01_M001,fru
150,Ses04F_impro01_M002,fru
156,Ses04F_impro01_M003,fru
162,Ses04F_impro01_M004,fru
168,Ses04F_impro01_M005,ang
174,Ses04F_impro01_M006,fru
180,Ses04F_impro01_M007,fru
186,Ses04F_impro01_M008,ang
192,Ses04F_impro01_M009,fru
198,Ses04F_impro01_M010,fru
204,Ses04F_impro01_M011,ang
210,Ses04F_impro01_M012,xxx
216,Ses04F_impro01_M013,fru
222,Ses04F_impro01_M014,ang
228,Ses04F_impro01_M015,fru
234,Ses04F_impro01_M016,fru
240,Ses04F_impro01_M017,fru
246,Ses04F_impro01_M018,fru
252,Ses04F_impro01_M019,xxx
258,Ses04F_impro01_M020,xxx
264,Ses04F_impro01_M021,ang
270,Ses04F_impro01_M022,fru
276,Ses04F_impro01_M023,ang
282,Ses04F_impro01_M024,ang
288,Ses04F_impro01_M025,xxx
0,Ses04F_impro02_F000,sad
6,Ses04F_impro02_F001,sad
12,Ses04F_impro02_F002,sad
18,Ses04F_impro02_F003,sad
24,Ses04F_impro02_F004,xxx
30,Ses04F_impro02_F005,sad
36,Ses04F_impro02_F006,sad
42,Ses04F_impro02_F007,sad
48,Ses04F_impro02_F008,fru
54,Ses04F_impro02_F009,sad
60,Ses04F_impro02_F010,fru
66,Ses04F_impro02_F011,sad
72,Ses04F_impro02_F012,ang
78,Ses04F_impro02_F013,fru
84,Ses04F_impro02_F014,fru
90,Ses04F_impro02_F015,fru
96,Ses04F_impro02_F016,fru
102,Ses04F_impro02_F017,ang
108,Ses04F_impro02_F018,ang
114,Ses04F_impro02_F019,fru
120,Ses04F_impro02_F020,fru
126,Ses04F_impro02_F021,xxx
132,Ses04F_impro02_F022,ang
138,Ses04F_impro02_F023,sad
144,Ses04F_impro02_F024,sad
150,Ses04F_impro02_M000,sad
156,Ses04F_impro02_M001,sad
162,Ses04F_impro02_M002,fru
168,Ses04F_impro02_M003,fru
174,Ses04F_impro02_M004,sad
180,Ses04F_impro02_M005,fru
186,Ses04F_impro02_M006,fru
192,Ses04F_impro02_M007,xxx
198,Ses04F_impro02_M008,fru
204,Ses04F_impro02_M009,fru
210,Ses04F_impro02_M010,fru
216,Ses04F_impro02_M011,xxx
222,Ses04F_impro02_M012,sad
228,Ses04F_impro02_M013,fru
234,Ses04F_impro02_M014,fru
240,Ses04F_impro02_M015,fru
246,Ses04F_impro02_M016,fru
252,Ses04F_impro02_M017,fru
258,Ses04F_impro02_M018,ang
264,Ses04F_impro02_M019,fru
270,Ses04F_impro02_M020,ang
276,Ses04F_impro02_M021,ang
282,Ses04F_impro02_M022,xxx
288,Ses04F_impro02_M023,fru
294,Ses04F_impro02_M024,sad
300,Ses04F_impro02_M025,sad
306,Ses04F_impro02_M026,sad
0,Ses04F_impro03_F000,exc
6,Ses04F_impro03_F001,exc
12,Ses04F_impro03_F002,exc
18,Ses04F_impro03_F003,exc
24,Ses04F_impro03_F004,exc
30,Ses04F_impro03_F005,exc
36,Ses04F_impro03_F006,exc
42,Ses04F_impro03_F007,exc
48,Ses04F_impro03_F008,xxx
54,Ses04F_impro03_F009,exc
60,Ses04F_impro03_F010,hap
66,Ses04F_impro03_F011,exc
72,Ses04F_impro03_F012,hap
78,Ses04F_impro03_F013,exc
84,Ses04F_impro03_F014,exc
90,Ses04F_impro03_F015,exc
96,Ses04F_impro03_F016,exc
102,Ses04F_impro03_F017,exc
108,Ses04F_impro03_F018,exc
114,Ses04F_impro03_F019,xxx
120,Ses04F_impro03_F020,xxx
126,Ses04F_impro03_F021,xxx
132,Ses04F_impro03_F022,xxx
138,Ses04F_impro03_F023,xxx
144,Ses04F_impro03_F024,xxx
150,Ses04F_impro03_F025,xxx
156,Ses04F_impro03_F026,xxx
162,Ses04F_impro03_F027,xxx
168,Ses04F_impro03_F028,xxx
174,Ses04F_impro03_F029,xxx
180,Ses04F_impro03_F030,xxx
186,Ses04F_impro03_F031,xxx
192,Ses04F_impro03_F032,xxx
198,Ses04F_impro03_F033,xxx
204,Ses04F_impro03_F034,exc
210,Ses04F_impro03_F035,xxx
216,Ses04F_impro03_F036,exc
222,Ses04F_impro03_F037,xxx
228,Ses04F_impro03_F038,exc
234,Ses04F_impro03_F039,xxx
240,Ses04F_impro03_F040,exc
246,Ses04F_impro03_F041,exc
252,Ses04F_impro03_F042,exc
258,Ses04F_impro03_F043,exc
264,Ses04F_impro03_F044,exc
270,Ses04F_impro03_F045,exc
276,Ses04F_impro03_F046,xxx
282,Ses04F_impro03_F047,exc
288,Ses04F_impro03_F048,exc
294,Ses04F_impro03_F049,xxx
300,Ses04F_impro03_F050,exc
306,Ses04F_impro03_F051,exc
312,Ses04F_impro03_F052,exc
318,Ses04F_impro03_M000,neu
324,Ses04F_impro03_M001,neu
330,Ses04F_impro03_M002,sur
336,Ses04F_impro03_M003,exc
342,Ses04F_impro03_M004,exc
348,Ses04F_impro03_M005,exc
354,Ses04F_impro03_M006,xxx
360,Ses04F_impro03_M007,xxx
366,Ses04F_impro03_M008,xxx
372,Ses04F_impro03_M009,xxx
378,Ses04F_impro03_M010,xxx
384,Ses04F_impro03_M011,xxx
390,Ses04F_impro03_M012,xxx
396,Ses04F_impro03_M013,xxx
402,Ses04F_impro03_M014,exc
408,Ses04F_impro03_M015,xxx
414,Ses04F_impro03_M016,xxx
420,Ses04F_impro03_M017,xxx
426,Ses04F_impro03_M018,neu
432,Ses04F_impro03_M019,neu
438,Ses04F_impro03_M020,neu
